Date,Open,High,Low,Close,Volume
2016-06-06 18:34,7.400000,7.4,7.39,7.400000,1365895
2016-06-06 18:35,7.400000,7.4,7.3912,7.400000,1366420
2016-06-06 18:36,7.400000,7.4,7.39,7.395000,1374099
2016-06-06 18:37,7.395000,7.395,7.39,7.395000,1391359
2016-06-06 18:38,7.395000,7.395,7.395,7.395000,1391359
2016-06-06 18:39,7.395000,7.395,7.395,7.395000,1391359
2016-06-06 18:40,7.395000,7.395,7.39,7.390000,1392559
2016-06-06 18:41,7.395000,7.395,7.39,7.393200,1392559
2016-06-06 18:42,7.393200,7.395,7.3932,7.395000,1394606
2016-06-06 18:43,7.395000,7.395,7.39,7.395000,1394806
2016-06-06 18:44,7.395000,7.395,7.395,7.395000,1396356
2016-06-06 18:45,7.395000,7.4,7.391,7.400000,1396356
2016-06-06 18:46,7.400000,7.4,7.4,7.400000,1403257
2016-06-06 18:47,7.400000,7.4,7.39,7.390000,1403257
2016-06-06 18:48,7.390000,7.395,7.3899,7.389900,1417999
2016-06-06 18:49,7.389900,7.3899,7.3899,7.389900,1420915
2016-06-06 18:50,7.389900,7.3899,7.385,7.385000,1420915
2016-06-06 18:51,7.385000,7.385,7.385,7.385000,1421991
2016-06-06 18:52,7.385000,7.3869,7.38,7.386900,1422191
2016-06-06 18:53,7.386900,7.3869,7.383,7.383000,1422691
2016-06-06 18:54,7.390000,7.39,7.3801,7.380100,1430491
2016-06-09 12:17,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:18,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:19,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:20,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:21,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:22,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:23,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:24,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:25,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:26,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:27,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:28,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:29,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:30,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:31,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:32,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:33,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:34,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:35,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:36,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:37,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:38,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:39,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:40,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:41,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:42,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:43,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:44,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:45,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:46,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:47,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:48,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:49,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:50,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:51,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:52,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:53,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:54,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:55,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:56,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:57,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:58,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 12:59,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:00,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:01,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:02,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:03,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:04,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:05,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:06,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:07,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:08,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:09,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:10,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:11,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:12,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:13,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:14,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:15,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:16,7.420000,7.42,7.42,7.420000,2775660
